Key,Visibility,Owner,Notes
WetLaraFrameEnd,internal,wet-lara-lab,Hidden Wet Lara frame gate end for capture work.
WetLaraFrameStart,internal,wet-lara-lab,Hidden Wet Lara frame gate start for capture work.
WetLaraFullBodyFromTiming,internal,wet-lara-lab,Hidden Wet Lara full body timing detector.
WetLaraHoldFrames,internal,wet-lara-lab,Hidden Wet Lara hold frame tuning.
WetLaraMaxCount,internal,wet-lara-lab,Hidden Wet Lara draw-count upper gate.
WetLaraMaxPerFrame,internal,wet-lara-lab,Hidden Wet Lara per-frame candidate limit.
WetLaraMinCount,internal,wet-lara-lab,Hidden Wet Lara draw-count lower gate.
WetLaraObjectGate,internal,wet-lara-lab,Hidden Wet Lara object gate.
WetLaraPartialCarryAfterExit,internal,wet-lara-lab,Hidden Wet Lara partial wetness carry toggle.
WetLaraPartialCarryMaxDelta,internal,wet-lara-lab,Hidden Wet Lara partial carry delta limit.
WetLaraPartialDirection,internal,wet-lara-lab,Hidden Wet Lara partial wetness direction.
WetLaraPartialFade,internal,wet-lara-lab,Hidden Wet Lara partial wetness fade.
WetLaraPartialFullMargin,internal,wet-lara-lab,Hidden Wet Lara partial wetness full margin.
WetLaraPartialRise,internal,wet-lara-lab,Hidden Wet Lara partial wetness rise.
WetLaraRequireNormal,internal,wet-lara-lab,Hidden Wet Lara normal requirement.
WetLaraRippleCircleAllowScreen,internal,wet-lara-lab,Hidden Wet Lara screen-space ripple detector toggle.
WetLaraRippleCircleNewOnly,internal,wet-lara-lab,Hidden Wet Lara new-circle-only ripple detector.
WetLaraRippleGraceFrames,internal,wet-lara-lab,Hidden Wet Lara ripple grace frames.
WetLaraRippleMinCount,internal,wet-lara-lab,Hidden Wet Lara ripple minimum draw count.
WetLaraStreakStrength,internal,wet-lara-lab,Hidden Wet Lara streak strength.
WetLaraSyntheticEnterFrames,internal,wet-lara-lab,Hidden Wet Lara synthetic contact enter frames.
WetLaraTimingDrawCount,internal,wet-lara-lab,Hidden Wet Lara timing draw count.
WetLaraTintB,internal,wet-lara-lab,Hidden Wet Lara blue tint.
WetLaraTintG,internal,wet-lara-lab,Hidden Wet Lara green tint.
WetLaraTintR,internal,wet-lara-lab,Hidden Wet Lara red tint.
WetLaraTraceIntervalFrames,internal,wet-lara-lab,Hidden Wet Lara trace log interval.
WetLaraUnderwaterCanStart,internal,wet-lara-lab,Hidden Wet Lara underwater start toggle.
WetLaraUnderwaterMargin,internal,wet-lara-lab,Hidden Wet Lara underwater margin.
WetLaraUnderwaterMinJoints,internal,wet-lara-lab,Hidden Wet Lara underwater joint threshold.
WetLaraUnderwaterSustain,internal,wet-lara-lab,Hidden Wet Lara underwater sustain toggle.
WetLaraUseDrawCounts,internal,wet-lara-lab,Hidden Wet Lara draw-count detector toggle.
WetLaraUseJoints,internal,wet-lara-lab,Hidden Wet Lara joint detector toggle.
WetLaraWaterContactMinSpeed,internal,wet-lara-lab,Hidden Wet Lara water contact speed threshold.
WetLaraWaterEnterFrames,internal,wet-lara-lab,Hidden Wet Lara water enter frames.
WetLaraWaterGraceFrames,internal,wet-lara-lab,Hidden Wet Lara water grace frames.
WetLaraWetDelaySeconds,internal,wet-lara-lab,Hidden Wet Lara wetness delay.
WetLaraWetRampSeconds,internal,wet-lara-lab,Hidden Wet Lara wetness ramp.
StandingOriginalBlend,release-only,release-profile,Strict Nexus standing original blend guard.
StandingRefractionOriginalBlend,release-only,release-profile,Strict Nexus standing refraction original blend guard.
